Link,Title,Price,Image URL,Region,Labels,Actual Floor,Max Floor,Size,Rooms,Square Price
https://list.am/item/20565053,"3 սենյականոց բնակարան նորակառույց շենքում Գյուրջյան փողոցում, 73 քմ, բարձր առաստաղներ",89000,,Նոր Նորք,Գործակալություն,9,9,73,3,1219.1780821917807
https://list.am/item/20290735,"2 սենյականոց բնակարան նորակառույց շենքում Քանաքեռ 14-րդ փողոցում, 65 քմ, նախավերջին հարկ",80000,,Քանաքեռ Զեյթուն,Գործակալություն,8,9,65,2,1230.7692307692307
https://list.am/item/21053182,"2 սենյականոց բնակարան նորակառույց շենքում Տիչինայի փողոցում, 63 քմ, 4/16 հարկ, բարձր առաստաղներ",78000,,Մալաթիա Սեբաստիա,Գործակալություն,4,16,63,2,1238.095238095238
https://list.am/item/19118922,"2 սենյականոց բնակարան նորակառույց շենքում Մալաթիայի փողոցում, 67 ք.մ., մի քանի պատշգամբ, 6/10 հարկ",83000,,Մալաթիա Սեբաստիա,Գործակալություն,6,10,67,2,1238.8059701492537
https://list.am/item/17155972,"2 սենյականոց բնակարան նորակառույց շենքում Գյուրջյան փողոցում, 46 քմ, 6/9 հարկ",57000,,Նոր Նորք,Գործակալություն,6,9,46,2,1239.1304347826087
https://list.am/item/21049133,"3 սենյականոց բնակարան նորակառույց շենքում, Նազարբեկյան թաղամաս, 70 քմ, 19/21 հարկ, 2 սանհանգույց",87000,,Աջափնյակ,Գործակալություն,19,21,70,3,1242.857142857143
https://list.am/item/20919381,"3 սենյականոց բնակարան նորակառույց շենքում, Նազարբեկյան թաղամաս, 70 քմ, 19/21 հարկ, 2 սանհանգույց",87000,,Աջափնյակ,Գործակալություն,19,21,70,3,1242.857142857143
https://list.am/item/20491023,"2 սենյականոց բնակարան նորակառույց շենքում, Դավթաշեն 4-րդ թաղամաս, 52 քմ, 6/13 հարկ, բարձր առաստաղներ",65000,,Դավթաշեն,,6,13,52,2,1250.0
https://list.am/item/20060915,"3 սենյականոց բնակարան նորակառույց շենքում Գալշոյան փողոցում, 68 ք.մ., 13/16 հարկ",85000,,Նոր Նորք,Գործակալություն,13,16,68,3,1250.0
https://list.am/item/20633530,"3 սենյականոց բնակարան նորակառույց շենքում Գյուրջյան փողոցում, 71 ք.մ., 2 սանհանգույց",90000,,Նոր Նորք,Գործակալություն,14,14,71,3,1267.605633802817
https://list.am/item/19015220,"2 սենյականոց բնակարան նորակառույց շենքում Լենինգրադյան փողոցում, 71 ք.մ., մի քանի պատշգամբ",90000,,Աջափնյակ,Գործակալություն,10,10,71,2,1267.605633802817
https://list.am/item/19386789,"2 սենյականոց բնակարան նորակառույց շենքում Դավիթ Անհաղթի փողոցում, 67 քմ, կապիտալ վերանորոգված",85000,,Քանաքեռ Զեյթուն,Գործակալություն,5,5,67,2,1268.6567164179105
https://list.am/item/19859381,"3 սենյականոց բնակարան նորակառույց շենքում Մինսկի փողոցում, 65 քմ, նախավերջին հարկ, բարձր առաստաղներ",83000,,Նոր Նորք,,4,5,65,3,1276.923076923077
https://list.am/item/19747507,"Ընդարձակ 1 սենյականոց բնակարան նորակառույց շենքում, Kuchak District, 54 ք.մ., 7/9 հարկ",69000,,Ավան,Գործակալություն,7,9,54,1,1277.7777777777778
https://list.am/item/17270904,"1 սենյականոց բնակարան նորակառույց շենքում Մալաթիայի փողոցում, 50 քմ, նախավերջին հարկ",64000,,Մալաթիա Սեբաստիա,Գործակալություն,9,10,50,1,1280.0
https://list.am/item/21022163,"2 սենյականոց բնակարան նորակառույց շենքում, Եղվարդի խճուղի, 53 քմ, 4/15 հարկ, բարձր առաստաղներ",68000,,Դավթաշեն,Գործակալություն,4,15,53,2,1283.0188679245282
https://list.am/item/21123034,"3 սենյականոց բնակարան նորակառույց շենքում Մազմանյան փողոցում, 70 քմ, 2 սանհանգույց",90000,,Աջափնյակ,Գործակալություն,12,12,70,3,1285.7142857142858
https://list.am/item/20980238,"2 սենյականոց բնակարան նորակառույց շենքում, Նազարբեկյան թաղամաս, 70 քմ, 8/21 հարկ, բարձր առաստաղներ",90000,,Աջափնյակ,,8,21,70,2,1285.7142857142858
https://list.am/item/20933651,"2 սենյականոց բնակարան նորակառույց շենքում Ներքին Շենգավիթի 11-րդ փողոցում, 63 քմ, 6/9 հարկ",81000,,Շենգավիթ,Գործակալություն,6,9,63,2,1285.7142857142858
https://list.am/item/20294659,"2 սենյականոց բնակարան նորակառույց շենքում, 11-я улица Неркин Шенгавита, 63 ք.մ., 6/9 հարկ",81000,,Շենգավիթ,,6,9,63,2,1285.7142857142858
https://list.am/item/19271551,"2 սենյականոց բնակարան նորակառույց շենքում, Թբիլիսյան խճուղի, 65 ք.մ., բարձր առաստաղներ",84500,,Արաբկիր,Գործակալություն,5,5,65,2,1300.0
https://list.am/item/19652805,"3 սենյականոց բնակարան նորակառույց շենքում, Թբիլիսյան խճուղի, 65 ք.մ., բարձր առաստաղներ",84500,,Քանաքեռ Զեյթուն,Գործակալություն,5,5,65,3,1300.0
https://list.am/item/19376302,"1 սենյականոց բնակարան նորակառույց շենքում Մալաթիայի փողոցում, 50 ք.մ., մի քանի պատշգամբ",65000,,Մալաթիա Սեբաստիա,Գործակալություն,9,10,50,1,1300.0
https://list.am/item/19029939,"2 սենյականոց բնակարան նորակառույց շենքում Սերո Խանզադյան (Նորքի) փողոցում, 52 քմ, 7/11 հարկ",68000,,Նորք Մարաշ,,7,11,52,2,1307.6923076923076
